frame,sensor_ts_s,t_s
0,88.033770,-1.227810
1,88.050445,-1.211135
2,88.067118,-1.194462
3,88.083798,-1.177782
4,88.100476,-1.161104
5,88.117146,-1.144434
6,88.133828,-1.127752
7,88.150498,-1.111082
8,88.167176,-1.094404
9,88.183851,-1.077729
10,88.200527,-1.061053
11,88.217194,-1.044386
12,88.233879,-1.027701
13,88.250550,-1.011030
14,88.267230,-0.994350
15,88.283902,-0.977678
16,88.300577,-0.961003
17,88.317254,-0.944326
18,88.333928,-0.927652
19,88.350603,-0.910977
20,88.367279,-0.894301
21,88.383954,-0.877626
22,88.400628,-0.860952
23,88.417301,-0.844279
24,88.433976,-0.827604
25,88.450652,-0.810928
26,88.467328,-0.794252
27,88.484003,-0.777577
28,88.500678,-0.760902
29,88.517354,-0.744226
30,88.534028,-0.727552
31,88.550710,-0.710870
32,88.567382,-0.694198
33,88.584057,-0.677523
34,88.600729,-0.660851
35,88.617405,-0.644175
36,88.634079,-0.627501
37,88.650757,-0.610823
38,88.667430,-0.594150
39,88.684105,-0.577475
40,88.700781,-0.560799
41,88.717455,-0.544125
42,88.734132,-0.527448
43,88.750805,-0.510775
44,88.767479,-0.494101
45,88.784156,-0.477424
46,88.800837,-0.460743
47,88.817513,-0.444067
48,88.834182,-0.427398
49,88.850857,-0.410723
50,88.867533,-0.394047
51,88.884212,-0.377368
52,88.900883,-0.360697
53,88.917562,-0.344018
54,88.934234,-0.327346
55,88.950908,-0.310672
56,88.967590,-0.293990
57,88.984260,-0.277320
58,89.000930,-0.260650
59,89.017605,-0.243975
60,89.034278,-0.227302
61,89.050950,-0.210630
62,89.067625,-0.193955
63,89.084297,-0.177283
64,89.100972,-0.160608
65,89.117649,-0.143931
66,89.134319,-0.127261
67,89.150991,-0.110589
68,89.167671,-0.093909
69,89.184341,-0.077239
70,89.201013,-0.060567
71,89.217688,-0.043892
72,89.234363,-0.027217
73,89.251032,-0.010548
74,89.267712,0.006132
75,89.284384,0.022804
76,89.301054,0.039474
77,89.317733,0.056153
78,89.334406,0.072826
79,89.351076,0.089496
80,89.367750,0.106170
81,89.384422,0.122842
82,89.401101,0.139521
83,89.417780,0.156200
84,89.434444,0.172864
85,89.451120,0.189540
86,89.467791,0.206211
87,89.484465,0.222885
88,89.501138,0.239558
89,89.517813,0.256233
90,89.534487,0.272907
91,89.551158,0.289578
92,89.567832,0.306252
93,89.584507,0.322927
94,89.601184,0.339604
95,89.617859,0.356279
96,89.634528,0.372948
97,89.651204,0.389624
98,89.667881,0.406301
99,89.684549,0.422969
100,89.701222,0.439642
101,89.717895,0.456315
102,89.734576,0.472996
103,89.751244,0.489664
104,89.767917,0.506337
105,89.784591,0.523011
106,89.801272,0.539692
107,89.817938,0.556358
108,89.834615,0.573035
109,89.851284,0.589704
110,89.867960,0.606380
111,89.884632,0.623052
112,89.901309,0.639729
113,89.917983,0.656403
114,89.934655,0.673075
115,89.951328,0.689748
116,89.968001,0.706421
117,89.984672,0.723092
118,90.001344,0.739764
119,90.018016,0.756436
120,90.034688,0.773108
121,90.051360,0.789780
122,90.068060,0.806480
123,90.084703,0.823123
124,90.101382,0.839802
125,90.118049,0.856469
126,90.134729,0.873149
127,90.151393,0.889813
128,90.168074,0.906494
129,90.184737,0.923157
130,90.201409,0.939829
131,90.218081,0.956501
132,90.234759,0.973179
133,90.251423,0.989843
134,90.268098,1.006518
135,90.284771,1.023191
136,90.301442,1.039862
137,90.318114,1.056534
138,90.334788,1.073208
139,90.351458,1.089878
140,90.368149,1.106569
