t_s,ax,ay,az,gx,gy,gz,led
0.000139,-0.5746,0.5076,9.4858,0.0314,0.0269,0.0163,0
0.006617,-0.5698,0.4932,9.4571,0.0288,0.0240,0.0136,0
0.011078,-0.5267,0.5124,9.4475,0.0168,0.0221,0.0160,0
0.014709,-0.4932,0.5507,9.4379,0.0213,0.0240,0.0149,0
0.017953,-0.4645,0.5315,9.4332,0.0131,0.0173,0.0107,0
0.021718,-0.4405,0.6273,9.3853,0.0197,0.0144,0.0125,0
0.028202,-0.4166,0.6081,9.4044,0.0075,0.0021,0.0096,0
0.031662,-0.4022,0.6129,9.3996,0.0128,-0.0013,0.0029,0
0.034977,-0.3831,0.6129,9.3470,0.0051,-0.0051,0.0024,0
0.040560,-0.4070,0.6369,9.3948,0.0037,-0.0141,-0.0040,0
0.044482,-0.3926,0.5890,9.3182,0.0053,-0.0155,-0.0165,0
0.047811,-0.4310,0.5938,9.2847,0.0040,-0.0197,-0.0184,0
0.051710,-0.4022,0.6512,9.2560,0.0043,-0.0322,-0.0240,0
0.057368,-0.3591,0.5986,9.2608,0.0005,-0.0360,-0.0280,0
0.061239,-0.4118,0.6608,9.1698,0.0064,-0.0456,-0.0322,0
0.064673,-0.4310,0.6416,9.1075,0.0048,-0.0514,-0.0368,0
0.067824,-0.4166,0.6225,9.0070,0.0064,-0.0541,-0.0437,0
0.070928,-0.4357,0.5986,8.9304,-0.0005,-0.0618,-0.0421,0
0.075650,-0.4836,0.5602,8.8202,0.0000,-0.0722,-0.0461,0
0.079387,-0.4884,0.5698,8.6766,0.0000,-0.0722,-0.0496,0
0.082699,-0.4884,0.5315,8.5521,-0.0048,-0.0719,-0.0493,0
0.086703,-0.5698,0.4741,8.2696,-0.0043,-0.0877,-0.0538,0
0.092434,-0.6273,0.4501,8.1068,-0.0069,-0.0965,-0.0509,0
0.095623,-0.6321,0.4405,7.9727,-0.0139,-0.1026,-0.0501,0
0.098822,-0.7278,0.4214,7.7045,-0.0195,-0.1037,-0.0445,0
0.102343,-0.7709,0.4166,7.5992,-0.0211,-0.1228,-0.0424,0
0.107363,-0.9337,0.4022,7.2688,-0.0416,-0.1327,-0.0312,0
0.111214,-0.9337,0.3639,7.0150,-0.0421,-0.1346,-0.0155,0
0.114633,-1.0104,0.2442,6.7325,-0.0520,-0.1479,-0.0045,0
0.118377,-1.0918,0.2969,6.4021,-0.0589,-0.1601,0.0216,0
0.123632,-1.0151,0.1676,5.8323,-0.0671,-0.1756,0.0437,0
0.127805,-0.8236,0.1341,5.3343,-0.0693,-0.1849,0.0584,0
0.131713,-0.8140,-0.0335,4.7597,-0.0770,-0.2028,0.0695,0
0.134848,-0.8332,-0.0335,4.3814,-0.0719,-0.2185,0.0847,0
0.138089,-0.7422,0.1053,3.8499,-0.0762,-0.2366,0.1050,0
0.143484,-0.5555,0.2298,2.8778,-0.0815,-0.2593,0.1077,0
0.147366,-0.6895,0.1724,2.3176,-0.0871,-0.2790,0.1223,0
0.150664,-0.5363,0.3112,1.9489,-0.0842,-0.3163,0.1404,0
0.157031,-0.4549,0.3543,1.4413,-0.0714,-0.3373,0.1511,1
0.161119,-0.3591,-0.1149,1.5610,-0.0368,-0.3472,0.1700,1
0.165149,-0.1580,0.0048,1.3024,-0.0256,-0.3525,0.1700,1
0.168424,-0.1628,0.3208,0.6943,-0.0168,-0.3584,0.1740,1
0.171589,-0.2490,0.3974,0.1389,-0.0197,-0.3597,0.1769,1
0.176306,-0.0910,-0.2298,0.2155,-0.0133,-0.3563,0.1828,1
0.180223,0.0958,-0.2155,0.3065,-0.0109,-0.3640,0.1769,1
0.183599,-0.1149,0.0383,0.2346,-0.0080,-0.3608,0.1772,1
0.188771,-0.0287,-0.1820,0.2107,-0.0080,-0.3597,0.1777,1
0.193098,0.0431,-0.2490,0.0958,-0.0045,-0.3648,0.1769,1
0.196527,-0.1197,-0.0622,-0.0239,-0.0080,-0.3651,0.1740,1
0.199881,-0.1915,0.0335,0.1101,-0.0021,-0.3619,0.1791,1
0.203029,0.0144,-0.1484,0.4118,-0.0101,-0.3595,0.1836,1
0.206394,-0.0048,-0.2251,0.4166,0.0005,-0.3568,0.1788,1
0.211188,-0.1341,-0.0431,0.0958,-0.0008,-0.3579,0.1807,1
0.215079,0.0431,0.0479,-0.0239,-0.0077,-0.3589,0.1815,1
0.218474,-0.0096,-0.2155,0.2921,-0.0021,-0.3584,0.1759,1
0.224108,-0.0575,-0.1245,0.3304,0.0040,-0.3581,0.1785,1
0.228059,-0.0575,0.0192,0.1772,0.0027,-0.3533,0.1724,1
0.231428,-0.0718,-0.1484,0.1724,-0.0005,-0.3536,0.1777,1
0.234745,-0.0814,-0.2682,0.2059,-0.0016,-0.3584,0.1748,1
0.240845,-0.0575,-0.0287,0.3400,0.0043,-0.3536,0.1767,1
0.244755,-0.0766,-0.1101,0.3687,0.0056,-0.3528,0.1785,1
0.248085,-0.0431,-0.1772,0.3639,0.0029,-0.3544,0.1735,1
0.251958,0.0048,-0.1341,0.2394,0.0016,-0.3515,0.1753,1
0.257147,-0.1724,-0.0527,0.2586,0.0051,-0.3605,0.1759,1
0.261061,0.0000,-0.1101,0.4884,0.0035,-0.3485,0.1841,1
0.264523,0.0287,-0.1101,0.4645,0.0069,-0.3547,0.1724,1
0.267850,-0.0814,-0.0383,0.3448,0.0123,-0.3579,0.1759,1
0.270936,-0.1006,-0.0048,0.2682,0.0088,-0.3544,0.1783,1
